No," TERBITAN DAN PENGELOLA	", ID, REGISTRASI, BERKAS, VERIFIKASI, PEMBAYARAN, SK ISSN, NO.ISSN 
895,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759205&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">Acta Notary Journal</a> (Program Studi Magister Kenotariatan Fakultas Hukum Universitas 17 Agustus 1945 Semarang)",1567759205,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
896,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759201&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">Public Service and Governance Journal</a> (Public Service and Governance Journal adalah jurnal berkala ilmiah yang diterbitkan oleh Program Studi Administrasi Publik  Fakultas Ilmu Sosial dan Ilmu Politik  Universitas 17 Agustus 1945 Semarang.)",1567759201,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
897,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759201&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">Public Service and Governance Journal</a> (Public Service and Governance Journal adalah jurnal berkala ilmiah yang diterbitkan oleh Program Studi Administrasi Publik  Fakultas Ilmu Sosial dan Ilmu Politik  Universitas 17 Agustus 1945 Semarang.)",1567759201,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
898,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759198&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">LINGUAMEDIA Journal</a> (Program Studi Sarjana S1 - Bahasa Inggris  Fakultas Bahasa dan Budaya  Universitas 17 Agustus 1945 Semarang)",1567759198,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
899,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759196&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">CHEMTAG Journal of Chemical Engineering</a> (Program Studi Teknik Kimia Universitas 17 Agustus 1945 (UNTAG) Semarang)",1567759196,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
900,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp36&amp1567759195&amp&amp&amp1570897204"" onmouseover=""window.status=''return true"">Accounting and Behavioural Research</a> (Program Studi  Fakultas Ekonomika dan Bisnis Universitas 17 Agustus 1945 Semarang)",1567759195,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
901,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567759164&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Applicatin Administration Journal</a> (Program Studi Magister Administrasi Publik Fakultas Ilmu Sosial dan Ilmu politik Universitas 17 Agustus 1945 Semarang)",1567759164,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
902,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567758176&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Suluh Pembangunan : Journal of Extension and Development</a> (Universitas Lampung)",1567758176,  06/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
903,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567751355&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Pendaratan Ikan Tradisional</a> (Badan Pusat Statistik)",1567751355,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
904,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567750962&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Penyediaan Makanan dan Minuman</a> (Badan Pusat Statistik)",1567750962,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
905,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567750141&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Harga Produsen Beras di Penggilingan</a> (Badan Pusat Statistik)",1567750141,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
906,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567749811&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Perkembangan Indeks Produksi Industri Manufaktur</a> (Badan Pusat Statistik)",1567749811,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
907,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567745751&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Indikator Industri Manufaktur Indonesia</a> (Badan Pusat Statistik)",1567745751,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
908,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567745293&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Peternakan Dalam Angka</a> (Badan Pusat Statistik)",1567745293,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
909,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744848&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">At-Tawil : Jurnal Pengkajian Al-Quran dan At-Turats</a> (Institut Agama Islam Bakti Negara (IBN) Tegal)",1567744848,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-5599  
910,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744676&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Perusahaan Perikanan</a> (Badan Pusat Statistik)",1567744676,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
911,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744324&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Kompetensi : Jurnal Pendidikan</a> (Lembaga Informasi Pelatihan Nasional (Lipnas))",1567744324,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-1402  
912,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744319&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Dinasti International Journal of Management Science (DIJMS)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567744319,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-5211  
913,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744314&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Dinasti International Journal of Management Science (DIJMS)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567744314,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-522X  
914,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567744244&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Pelabuhan Perikanan</a> (Badan Pusat Statistik)",1567744244,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
915,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567741714&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Jurnal Ekonomi Manajemen Sistem Informasi (JEMSI)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567741714,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-4916  
916,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567741159&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Evaluasi : Jurnal Pendidikan</a> (Lembaga Informasi Pelatihan Nasional (Lipnas))",1567741159,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-1399  
917,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567740735&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Jurnal Ekonomi Manajemen Sistem Informasi (JEMSI)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567740735,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-5238  
918,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567738553&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Jurnal Ilmu Manajemen Terapan (JIMT)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567738553,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-5246  
919,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567738244&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Kakao Indonesia</a> (Badan Pusat Statistik)",1567738244,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
920,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567735632&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Kopi Indonesia</a> (Badan Pusat Statistik)",1567735632,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
921,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567734842&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Perusahaan Hortikultura dan Usaha Hortikultura Lainnya</a> (Badan Pusat Statistik)",1567734842,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
922,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567734113&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Statistik Potensi Desa Indonesia</a> (Badan Pusat Statistik)",1567734113,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
923,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567733252&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Booklet Survei Angkatan Kerja Nasional </a> (Badan Pusat Statistik)",1567733252,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
924,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567732807&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Jurnal GeoCivic</a> (FKIP Universitas Khairun)",1567732807,  06/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
925,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp37&amp1567732380&amp&amp&amp1570897206"" onmouseover=""window.status=''return true"">Profil Migran Hasil Survei Sosial Ekonomi Nasional</a> (Badan Pusat Statistik)",1567732380,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
926,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567731758&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Statistik Mobilitas Penduduk dan Tenaga Kerja</a> (Badan Pusat Statistik)",1567731758,  06/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
927,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567731207&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Statistik Mobilitas Penduduk dan Tenaga Kerja</a> (Badan Pusat Statistik)",1567731207,  06/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
928,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567697126&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Administrasi Nusantara (JAN)</a> (STIA Nusantara Sakti)",1567697126,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-3138  
929,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567697085&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Kesmas Prima Indonesia</a> (Universitas Prima Indonesia Medan)",1567697085,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
930,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567691135&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Citra Indramayu : Majalah Pendidikan dan Budaya</a> (CV. Graha Niaga)",1567691135,  05/09/19  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  
931,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567676699&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Kajian Stratejik Ketahanan Nasional </a> (Prodi Kajian Ketahanan Nasional SKSG UI )",1567676699,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
932,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567674540&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Ilmu Manajemen Terapan (JIMT)</a> (Yayasan Dharma Indonesia Tercinta (DINASTI PUBLISHER))",1567674540,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-4924  
933,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567673560&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">jurnal teknokologi</a> (universitas negeri padang)",1567673560,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
934,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567672757&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Profil Migran Hasil Survei Sosial Ekonomi Nasional</a> (Badan Pusat Statistik)",1567672757,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
935,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567671840&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Pengabdian Masyarakat STMIK Logika</a> (STMIK Logika Medan )",1567671840,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
936,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567668324&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">JURNAL DIALOGIKA</a> (Pascasarjana UNMA)",1567668324,  05/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
937,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567667371&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Suluah Bendang : Jurnal Ilmiah Pengabdian Kepada Masyarakat</a> (LP2M Universitas Negeri Padang)",1567667371,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
938,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567666257&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Dedikasi : Jurnal Pengabdian Masyarakat</a> (Pusat Pengabdian Masyarakat LPPM IAIN Metro)",1567666257,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-3839  
939,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567664450&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">(double) Jurnal Kajian Pariwisata</a> (LPPM STP ARS Internasional)",1567664450,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
940,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567660341&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">International Conference On One Health (ICOH) : Abstract Book</a> (Fakultas Kedokteran Hewan  Universitas Brawijaya)",1567660341,  05/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
941,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567658404&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">SCAN : Jurnal Teknologi Informasi dan Komunikasi</a> (Prodi. Teknik Informatika  Fakultas Ilmu Komputer  Universitas Pembangunan Nasional Veteran Jawa Timur)",1567658404,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
942,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567658011&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Fair Play (Jurnal Pendidikan Jasmani Kesehatan Rekreasi)</a> (Pendidikan Jasmani Kesehatan Rekreasi FKIP UHO)",1567658011,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
943,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567656419&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Statistik Indonesia Dalam Infografis</a> (Badan Pusat Statistik)",1567656419,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
944,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567652638&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">APBN KiTa (Kinerja dan Fakta)</a> (Kementerian Keuangan)",1567652638,  05/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
945,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567650937&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Surya : Jurnal Media Komunikasi Ilmu Kesehatan</a> (Fakultas Ilmu Kesehatan  Universitas Muhammadiyah Lamongan)",1567650937,  05/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
946,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567650678&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Teknika UNIS (Jurnal Keilmuan dan Aplikasi Teknik)</a> (Fakultas Teknik  Universitas Islam Syekh Yusuf Tangerang)",1567650678,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
947,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567649405&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Jurnal Analisis Kebijakan Pendidikan</a> (Pusat Analisis dan Sinkronisasi Kebijakan (PASKA) Kemendikbud)",1567649405,  05/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
948,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567648353&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Widyasastra</a> (Balai Bahasa Daerah Istimewa Yogyakarta)",1567648353,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
949,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567645149&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Produk Domestik Regional Bruto Kabupaten Seruyan menurut Pengeluaran </a> (BPS Kabupaten Seruyan)",1567645149,  05/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
950,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp38&amp1567642535&amp&amp&amp1570897209"" onmouseover=""window.status=''return true"">Intelektiva : Jurnal  Ekonomi  Sosial dan Humaniora</a> (CV. Kultura Digital Media)",1567642535,  05/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
951,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567603819&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Pencerah Publik</a> (Prodi Magister Administrasi Publik FISIP Universitas Muhammadiyah Palangkaraya)",1567603819,  04/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-1631  
952,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567603071&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Reka Geomatika: Jurnal Teknik Geodesi dan Geomatika</a> (Jurusan Teknik Geodesi  Institut Teknologi Nasional Bandung)",1567603071,  04/09/19  ,  Check  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  
953,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567595850&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Bomipa : Bocah Matematika dan IPA</a> (Klinik Pendidikan MIPA)",1567595850,  04/09/19  ,  Check  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  
954,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567593286&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Publikasi : Jurnal Pendidikan</a> (Lembaga Informasi Pelatihan Nasional (Lipnas))",1567593286,  04/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-1410  
955,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567589930&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Talimiyah : Jurnal Manajemen Pendidikan Islam</a> (Prodi Manajemen Pendidikan Islam  STAI Ki Ageng Pekalongan)",1567589930,  04/09/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
956,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567586119&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Referensi : Jurnal Pendidikan</a> (Lembaga  Informasi Pelatihan Nasional (Lipnas))",1567586119,  04/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-1429  
957,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567585947&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">ALGOR</a> (Fakultas Sains &amp Teknologi  Universitas Buddhi Dharma)",1567585947,  04/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
958,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567585804&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">ALGOR</a> (Fakultas Sains &amp Teknologi  Universitas Buddhi Dharma)",1567585804,  04/09/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
959,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp39&amp1567584467&amp&amp&amp1570897212"" onmouseover=""window.status=''return true"">Pelita Masyarakat</a> (Universitas Medan Area)",1567584467,  04/09/19  ,  Check  ,  Check  ,  Check  ,  Check  ,  2686-3200  
